"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"CC","GO:0031091","platelet alpha granule","14/669","91/19979",0.153846153846154,4.59445785903185,6.39670707177347,1.92074877886545e-06,4.02484175934987e-05,4.02484175934988e-05,"VEGFD/GAS6/PROS1/SERPING1/A2M/PECAM1/CLU/CFD/PHACTR2/THBS2/F8/CD36/VWF/TIMP1",14
"CC","GO:0042641","actomyosin","14/669","92/19979",0.152173913043478,4.54451809969455,6.34255733134773,2.19675019143164e-06,4.40305147065211e-05,4.40305147065211e-05,"SYNPO/MYH10/MYLK/DST/KAT2B/PDLIM2/LIMCH1/TEK/ABLIM1/NEBL/FAM107A/SORBS1/MYL9/FERMT2",14
"CC","GO:0005925","focal adhesion","33/669","403/19979",0.0818858560794045,2.44543724754921,5.45616773650473,2.3495379592075e-06,4.51307082997774e-05,4.51307082997774e-05,"MCAM/HMGA1/MME/FHL1/ADGRE5/FAP/PLAU/NFASC/TNC/RRAS/EPB41L2/TNS1/ITGA8/DST/PDLIM2/CNN1/FLRT3/TEK/NEDD9/CAV2/AHNAK/ENG/LMO7/CAT/FAM107A/CAV1/SORBS1/EFNB2/LIMS2/SLC6A4/DLC1/FHL2/FERMT2",33
"CC","GO:0005901","caveola","13/669","81/19979",0.160493827160494,4.7929838159036,6.36673409728774,2.73721574780138e-06,5.04742583894574e-05,5.04742583894574e-05,"TGFBR2/SLC2A1/PTCH1/PLPP2/FXYD1/CDH1/CAV2/CAVIN2/CD36/CAV1/SORBS1/DLC1/CAVIN1",13
"CC","GO:0031674","I band","18/669","150/19979",0.12,3.58367713004484,5.91195868674636,2.88304999468585e-06,5.11186941365453e-05,5.11186941365453e-05,"SYNPO/DNAJB4/SLC2A1/KRT19/CAPN3/SYNC/DST/KAT2B/PDLIM2/DES/FHL5/NEBL/CRYAB/KRT8/FHL2/MYL9/FERMT2/DMD",18
"CC","GO:0032432","actin filament bundle","14/669","95/19979",0.147368421052632,4.40100700180946,6.1846535694246,3.24919194720074e-06,5.54769439873904e-05,5.54769439873904e-05,"SYNPO/MYH10/MYLK/DST/PDLIM2/LIMCH1/TEK/ABLIM1/NEBL/CRYAB/FAM107A/SORBS1/MYL9/FERMT2",14
"CC","GO:0016324","apical plasma membrane","34/669","429/19979",0.0792540792540792,2.36684192738004,5.32686246443028,3.4042039236095e-06,5.60477860279993e-05,5.60477860279993e-05,"EMP2/SLC39A8/FOLR1/ASPM/SLC15A2/CA4/SLC7A11/SLC2A1/CLIC5/CD34/HYAL2/PLLP/CEACAM1/SLC16A3/ADRB2/PALM2AKAP2/AGER/FXYD1/KL/SLC7A5/SLC1A1/PODXL/NEDD4L/EPCAM/TEK/CEACAM5/DUOX1/IGFBP2/LMO7/CD36/STK39/CAV1/AQP1/CLDN4",34
"CC","GO:0140152","collagenous component of interstitial matrix","7/669","21/19979",0.333333333333333,9.95465869456901,7.64184284317885,3.53037185574267e-06,5.61207388102541e-05,5.61207388102541e-05,"COL1A1/COL5A2/COL5A1/COL11A1/COL1A2/COL10A1/COL3A1",7
"CC","GO:0001725","stress fiber","13/669","85/19979",0.152941176470588,4.56743163633166,6.13482235998976,4.7649998455665e-06,7.08601589937469e-05,7.08601589937469e-05,"SYNPO/MYH10/MYLK/DST/PDLIM2/LIMCH1/TEK/ABLIM1/NEBL/FAM107A/SORBS1/MYL9/FERMT2",13
"CC","GO:0097517","contractile actin filament bundle","13/669","85/19979",0.152941176470588,4.56743163633166,6.13482235998976,4.7649998455665e-06,7.08601589937469e-05,7.08601589937469e-05,"SYNPO/MYH10/MYLK/DST/PDLIM2/LIMCH1/TEK/ABLIM1/NEBL/FAM107A/SORBS1/MYL9/FERMT2",13
"CC","GO:0030018","Z disc","16/669","134/19979",0.119402985074627,3.56584789059188,5.5469682591927,1.08395613534153e-05,0.000156157430747639,0.000156157430747639,"SYNPO/DNAJB4/SLC2A1/KRT19/CAPN3/SYNC/DST/PDLIM2/DES/FHL5/NEBL/CRYAB/KRT8/FHL2/MYL9/DMD",16
"CC","GO:0009897","external side of plasma membrane","30/669","378/19979",0.0793650793650794,2.37015683204024,5.00581727315359,1.23895207239213e-05,0.000173077850112961,0.000173077850112961,"HEG1/MCAM/LEPR/FOLR1/CA4/LDLR/CD24/CX3CR1/TGFBR2/HLA-E/PECAM1/CD34/HYAL2/PLAU/TGFBR3/CXCL12/ABCG1/IL7R/S1PR1/CDH5/SLC7A5/FCN3/THBD/MUC16/AQP4/ENG/CD36/GHR/ST14/IL1RL1",30
"CC","GO:0034774","secretory granule lumen","27/669","328/19979",0.0823170731707317,2.45831510445149,4.9567143810176,1.75368285952419e-05,0.000237778764188427,0.000237778764188427,"GPI/CHI3L1/CLEC3B/VEGFD/GAS6/SLPI/PROS1/SERPING1/FABP5/TIMP3/LCN2/A2M/TCN1/FGR/MIF/CLU/QPCT/CFD/GMFG/MNDA/PRDX4/F8/CAT/S100P/VWF/TIMP1/ALOX5",27
"CC","GO:0005796","Golgi lumen","14/669","110/19979",0.127272727272727,3.80086968338089,5.48275913139131,1.84085937563616e-05,0.000242467477762363,0.000242467477762363,"GAS6/PROS1/OGN/GPC3/PRELP/DCN/HS3ST1/MUC5B/MUC4/CDH1/MMP11/MUC16/F8/VCAN",14
"CC","GO:0060205","cytoplasmic vesicle lumen","27/669","333/19979",0.0810810810810811,2.42140346624652,4.86855794697045,2.29372671109264e-05,0.000293724448281586,0.000293724448281586,"GPI/CHI3L1/CLEC3B/VEGFD/GAS6/SLPI/PROS1/SERPING1/FABP5/TIMP3/LCN2/A2M/TCN1/FGR/MIF/CLU/QPCT/CFD/GMFG/MNDA/PRDX4/F8/CAT/S100P/VWF/TIMP1/ALOX5",27
"CC","GO:0031983","vesicle lumen","27/669","334/19979",0.0808383233532934,2.41415375526973,4.85111728164467,2.41832369396021e-05,0.000301310060247474,0.000301310060247474,"GPI/CHI3L1/CLEC3B/VEGFD/GAS6/SLPI/PROS1/SERPING1/FABP5/TIMP3/LCN2/A2M/TCN1/FGR/MIF/CLU/QPCT/CFD/GMFG/MNDA/PRDX4/F8/CAT/S100P/VWF/TIMP1/ALOX5",27
"CC","GO:0000940","outer kinetochore","6/669","20/19979",0.3,8.95919282511211,6.62845880432063,3.57459475074031e-05,0.000433654784234548,0.000433654784234548,"BUB1B/ZWINT/NDC80/CENPF/BUB1/CCNB1",6
"CC","GO:0044853","plasma membrane raft","14/669","121/19979",0.115702479338843,3.45533607580081,5.04235946925538,5.41141919434044e-05,0.000639657499638703,0.000639657499638703,"TGFBR2/SLC2A1/PTCH1/PLPP2/RECK/FXYD1/CDH1/CAV2/CAVIN2/CD36/CAV1/SORBS1/DLC1/CAVIN1",14
"CC","GO:0031093","platelet alpha granule lumen","10/669","67/19979",0.149253731343284,4.45730986323985,5.27613854538386,7.33820037652692e-05,0.000845727593394727,0.000845727593394727,"VEGFD/GAS6/PROS1/SERPING1/A2M/CLU/CFD/F8/VWF/TIMP1",10
"CC","GO:0140149","non-collagenous component of interstitial matrix","8/669","44/19979",0.181818181818182,5.42981383340128,5.47522057225749,9.24283202061678e-05,0.00103925501500106,0.00103925501500106,"MFAP4/DCN/FBLN5/FBLN1/LTBP4/COMP/THBS2/VCAN",8
"CC","GO:0097648","G protein-coupled receptor complex","4/669","11/19979",0.363636363636364,10.8596276668026,6.08818022005788,0.000340693976037133,0.00373952197507424,0.00373952197507424,"RAMP3/RAMP2/GABBR1/CALCRL",4
"CC","GO:0000776","kinetochore","16/669","179/19979",0.0893854748603352,2.66940568345985,4.17593504206874,0.000354047023219568,0.00379571343498188,0.00379571343498188,"CENPA/H3-3B/BUB1B/TTK/ZWINT/NDC80/KAT2B/BIRC5/AURKA/CENPF/BUB1/CCNB1/NEK2/CDC20/MAD2L1/CENPU",16
"CC","GO:0005902","microvillus","11/669","97/19979",0.11340206185567,3.3866364631008,4.38571120398662,0.000398751249727621,0.00417782559373712,0.00417782559373712,"ANGPT1/SLC7A11/HYAL2/CEACAM1/ICAM2/CD302/SLC7A5/PODXL/TEK/AOC3/S100P",11
"CC","GO:0140150","gel phase of interstitial matrix","6/669","30/19979",0.2,5.9727952167414,5.07339368077221,0.000411634631092841,0.00421696810963999,0.00421696810963999,"OGN/PRELP/DCN/ECM2/SPOCK2/VCAN",6
"CC","GO:0042599","lamellar body","5/669","20/19979",0.25,7.46599402092676,5.38491476943113,0.00042308972728541,0.00424009487562117,0.00424009487562117,"SFTPB/SFTPA2/ABCA3/LAMP3/SFTPC",5
"CC","GO:0016328","lateral plasma membrane","9/669","69/19979",0.130434782608696,3.89530122830961,4.48415479618131,0.000472575442823773,0.00463526125833531,0.00463526125833531,"CLDN5/CEACAM1/SLC16A3/CDH1/EPCAM/CLDN18/CLDN4/DMD/CLDN3",9
